name,red,green,blue,alpha,id
Ceiling,125,218,3,255,0
Floor,154,229,206,255,1
Wall,124,133,141,255,2
Window,102,0,204,255,3
Bed,169,169,169,255,4
Bed_Lamp,32,32,32,255,5
Table,102,255,0,255,6
TV,255,23,23,255,7
Chair,35,100,35,255,8
Ceiling_Lamp,39,144,65,255,9
Clock,255,20,127,255,10
Door,62,146,211,255,11
Floor_Lamp,246,188,6,255,12
Kitchen,38,112,233,255,13
Decor,175,32,45,255,14
Plant,54,176,239,255,15
Sofa,244,228,69,255,16
Coffee_Machine,154,38,91,255,17
Laptop,2,103,71,255,18
Books,35,213,234,255,19
Thing,250,50,50,255,20
